Residues,SMILES,Remark
FA12:0,OC(CCCCCCCCCCC)=O,FA12:0
FA14:0,OC(CCCCCCCCCCCCC)=O,FA14:0
FA15:0,OC(CCCCCCCCCCCCCC)=O,FA15:0
FA16:0,OC(CCCCCCCCCCCCCCC)=O,FA16:0
FA16:1,OC(CCCCCCC\C=C/CCCCCC)=O,FA16:1(9Z)
FA17:0,OC(CCCCCCCCCCCCCCCC)=O,FA17:0
FA18:0,OC(CCCCCCCCCCCCCCCCC)=O,FA18:0
FA18:1,OC(CCCCCCC\C=C/CCCCCCCC)=O,FA18:1(9Z)
FA18:2,OC(CCCCCCC\C=C/C\C=C/CCCCC)=O,"FA18:2(9Z,12Z)"
FA18:3,OC(CCCCCCC\C=C/C\C=C/C\C=C/CC)=O,"FA18:3(9Z,12Z,15Z)"
FA18:3,OC(CCCC\C=C/C\C=C/C\C=C/CCCCC)=O,"FA18:3(6Z,9Z,12Z)"
FA19:0,OC(CCCCCCCCCCCCCCCCCC)=O,FA19:0
FA20:0,OC(CCCCCCCCCCCCCCCCCCC)=O,FA20:0
FA20:1,OC(CCCCCCCCCCCC\C=C/CCCCC)=O,FA20:3(14Z)
FA20:2,OC(CCCCCC\C=C/C\C=C/CCCCCCCC)=O,"FA20:3(8Z,11Z)"
FA20:3,OC(CCCCCC\C=C/C\C=C/C\C=C/CCCCC)=O,"FA20:3(8Z,11Z,14Z)"
FA20:4,OC(CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)=O,"FA20:4(5Z,8Z,11Z,14Z)"
FA20:5,OC(CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)=O,"FA20:5(5Z,8Z,11Z,14Z,17Z)"
FA21:0,OC(CCCCCCCCCCCCCCCCCCCC)=O,FA21:0
FA22:0,OC(CCCCCCCCCCCCCCCCCCCCCC)=O,FA22:0
FA22:1,OC(CCCCCCCCCCC\C=C/CCCCCCCC)=O,FA22:2(13Z)
FA22:2,OC(CCCCCCCCCCC\C=C/C\C=C/CCCCC)=O,"FA22:2(13Z,16Z)"
FA22:3,OC(CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC)=O,"FA22:4(10Z,13Z,16Z)"
FA22:4,OC(CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)=O,"FA22:4(7Z,10Z,13Z,16Z)"
FA22:5,OC(CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)=O,"FA22:5(7Z,10Z,13Z,16Z,19Z)"
FA22:5,OC(CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)=O,"FA22:5(4Z,7Z,10Z,13Z,16Z)"
FA22:6,OC(CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)=O,"FA22:6(4Z,7Z,10Z,13Z,16Z,19Z)"
O-16:0,OCCCCCCCCCCCCCCCC,O-16:0
O-16:1,OCCCCCCCC\C=C/CCCCCC,O-16:1(9Z)
O-18:0,OCCCCCCCCCCCCCCCCCC,O-18:0
O-18:1,OCCCCCCCC\C=C/CCCCCCCC,O-18:1(9Z)
O-20:0,OCCCCCCCCCCCCCCCCCCCC,O-20:0
P-16:0,O\C=C/CCCCCCCCCCCCCC,P-16:0
P-18:0,O\C=C/CCCCCCCCCCCCCCCC,P-18:0
P-18:1,O\C=C/CCCCCC\C=C/CCCCCCCC,P-18:1(9Z)
P-20:0,O\C=C/CCCCCCCCCCCCCCCCCC,P-20:0
